semestre,district_id,banda_larga,nro_medicoes,medicoes_ipv6,medicoes_ipv4,mediana_download,mediana_upload,mediana_latencia,mediana_perdapacotes,mediana_jitterdown,mediana_jitterup
2020_1,01,fixa,6566,16,6242,49.41295623779297,18.607141494750977,19.69150018692017,0.0,0.9144999980926514,1.8339999914169312
2020_1,02,fixa,9683,1088,8269,52.61979293823242,17.89893913269043,17.55900001525879,0.0,0.791999988257885,1.5565000176429749
2020_1,03,fixa,419,1,345,24.53682804107666,21.27756893634796,12.873499870300291,0.0,1.326749972999096,1.5630000233650208
2020_1,04,fixa,9434,11,9161,33.974608421325684,12.885971069335938,21.924999237060547,0.0,0.9729999899864196,1.92425000667572
2020_1,05,fixa,5400,4,5064,30.34626579284668,14.306721478700638,23.577999114990234,0.0,1.4079999923706057,2.108500063419342
2020_1,06,fixa,10333,1067,9051,49.3814868927002,22.721077919006348,16.369499683380127,0.0,0.9310000091791152,1.6782499849796295
2020_1,07,fixa,15596,2105,12780,51.29095649719238,20.95332145690918,16.74799919128418,0.0,0.7879999876022339,1.1679999828338623
2020_1,08,fixa,5348,1,5148,61.78173828125,25.325940132141117,12.848999977111816,0.0,0.921999990940094,1.3250000476837158
2020_1,09,fixa,628,3,490,48.2241096496582,19.738171577453613,14.141000032424929,0.0,0.9890000224113464,1.298000007867813
2020_1,10,fixa,4272,3,4140,51.9377555847168,30.659746170043945,9.565999984741213,0.0,0.7434999942779541,0.8320000171661377
2020_1,11,fixa,23507,11,23055,25.40516471862793,15.880487442016602,12.99899959564209,0.0,1.4700000286102295,1.5514999628067017
2020_1,12,fixa,7027,1786,4762,47.02460479736328,17.014729976654053,14.979499816894531,0.0,0.8305000066757202,1.77400004863739
2020_1,13,fixa,8395,5,7904,34.08670616149902,13.467660903930664,21.600000381469727,0.0,1.4919999837875366,1.977500021457672
2020_1,14,fixa,1085,4,884,47.17864227294922,19.1817626953125,17.619749546051025,0.0,0.825750008225441,1.5272499918937683
2020_1,15,fixa,4944,23,4614,51.53767013549805,18.064664363861084,15.5479998588562,0.0,1.0119999647140503,1.7730000019073486
2020_1,16,fixa,7441,173,6627,39.23716449737549,15.59172821044922,19.237500190734863,0.0,1.2450000047683716,2.0550000071525574
2020_1,17,fixa,13421,14,12756,29.40210723876953,19.651443481445312,14.99150002002716,0.0,1.383999943733215,1.5369999408721924
2020_1,18,fixa,7067,6,6600,30.18947982788086,12.969467163085938,22.55199956893921,0.0,1.6210000216960907,2.1107499599456787
2020_1,19,fixa,6233,5,5718,18.90713405609131,18.4085636138916,17.29050064086914,0.0,1.6902500092983246,1.7580000162124634
2020_1,20,fixa,5577,25,5219,39.83304405212402,15.727998733520508,20.62600040435791,0.0,1.175000011920929,2.0810000896453857
2020_1,21,fixa,5238,299,4679,49.68881702423096,18.483290195465088,17.579500198364258,0.0,1.0374999940395355,1.871499985456467
2020_1,22,fixa,13660,22,13075,31.39722776412964,18.7890043258667,14.437000036239624,0.0,1.2127499878406525,1.675250023603439
2020_1,23,fixa,9010,1743,6761,33.36361312866211,17.199328899383545,17.749000549316406,0.0,1.2730000019073486,1.6729999780654907
2020_1,24,fixa,3437,740,2295,31.8289794921875,9.41242218017578,26.0939998626709,0.0,1.5570000410079956,2.4579999446868896
2020_1,25,fixa,10614,1,10350,21.568675994873047,18.795238494873047,13.276999950408936,0.5,1.8834999799728396,1.5982500314712524
2020_1,26,fixa,12216,3257,8608,50.41567993164063,18.37991726398468,18.77899980545044,0.0,0.9490000009536744,1.6139999628067017
